year,month,day,Sub_Metering_1,Sub_Metering_2,Sub_Metering_3
2007,1,1,0,0.352,6.491
2007,1,2,0,0.341,6.562
2007,1,3,0,0.316,4.247
2007,1,4,1.051,7.617,11.414
2007,1,5,1.483,0.394,6.53
2007,1,6,1.336,0.38,6.587
2007,1,7,1.987,8.14,11.893
2007,1,8,0,0.483,18.627
2007,1,9,1.688,3.033,9.79
2007,1,10,0.771,5.733,11.012
2007,1,11,1.378,2.145,12.415
2007,1,12,0,0.428,8.276
2007,1,13,6.884,3.011,10.329
2007,1,14,2.699,4.19,12.908
2007,1,15,1.099,0.778,16.242
2007,1,16,2.063,2.121,6.583
2007,1,17,2.945,5.722,14.98
2007,1,18,0.555,0.334,14.363
2007,1,19,1.552,0.33,6.928
2007,1,20,4.875,5.243,11.896
2007,1,21,10.343,5.55,11.599
2007,1,22,1.057,2.988,11.361
2007,1,23,0,1.081,5.061
2007,1,24,3.464,2.48,11.323
2007,1,25,1.158,0.262,11.015
2007,1,26,0.587,0.236,8.346
2007,1,27,1.746,3.148,12.766
2007,1,28,3.466,4.746,12.19
2007,1,29,1.123,0.293,14.594
2007,1,30,1.123,1.389,8.809
2007,1,31,0,5.987,15.052
2007,2,1,1.17,0.396,12.06
2007,2,2,0,0.361,11.366
2007,2,3,4.746,4.571,17.826
2007,2,4,3.391,3.377,15.537
2007,2,5,0.896,3.751,7.849
2007,2,6,1.185,0.44,4.517
2007,2,7,2.731,3.521,11.986
2007,2,8,2.794,0.341,9.717
2007,2,9,0,2.972,10.21
2007,2,10,5.071,2.912,13.935
2007,2,11,2.43,4.782,12.511
2007,2,12,2.227,0.393,11.958
2007,2,13,0,2.796,5.959
2007,2,14,3.295,3.805,12.508
2007,2,15,0,2.323,12.934
2007,2,16,1.148,0.918,8.71
2007,2,17,1.765,2.188,8.23
2007,2,18,6.107,7.979,13.129
2007,2,19,1.634,2.939,13.085
2007,2,20,2.058,3.727,9.713
2007,2,21,3.062,3.809,10.462
2007,2,22,1.874,2.8,12.28
2007,2,23,0,1.813,11.843
2007,2,24,0,0.363,3.562
2007,2,25,0,0.355,1.66
2007,2,26,0,0.341,2.485
2007,2,27,0,0.307,2.269
2007,2,28,0,0.343,1.973
2007,3,1,0,0.318,1.98
2007,3,2,0,0.309,1.969
2007,3,3,0,0.347,4.597
2007,3,4,1.476,8.707,9.404
2007,3,5,5.727,12.126,10.03
2007,3,6,0,1.76,4.388
2007,3,7,1.076,4.676,15.591
2007,3,8,2.18,3.433,6.713
2007,3,9,1.093,0.382,8.807
2007,3,10,4.13,5.422,10.446
2007,3,11,4.81,3.42,10.033
2007,3,12,1.403,2.802,12.272
2007,3,13,1.35,3.351,4.68
2007,3,14,3.189,1.027,9.331
2007,3,15,0.296,3.263,11.036
2007,3,16,1.106,4.569,5.37
2007,3,17,2.208,0.383,12.275
2007,3,18,6.105,7.371,5.856
2007,3,19,2.107,2.68,14.118
2007,3,20,3.745,2.815,10.185
2007,3,21,1.575,3.032,13.052
2007,3,22,0.643,1.874,9.737
2007,3,23,1.127,0.493,9.447
2007,3,24,3.095,6.071,15.332
2007,3,25,4.957,3.539,8.308
2007,3,26,0.851,0.401,11.196
2007,3,27,0.522,2.964,3.697
2007,3,28,1.122,8.205,13.286
2007,3,29,0.56,0.831,9.712
2007,3,30,1.174,0.447,9.469
2007,3,31,3.131,7.657,15.918
2007,4,1,3.567,4.248,19.512
2007,4,2,1.834,1.886,16.643
2007,4,3,3.487,1.315,8.555
2007,4,4,3.996,0.465,15.183
2007,4,5,1.125,4.202,9.148
2007,4,6,0.536,4.374,11.309
2007,4,7,1.127,4.28,3.837
2007,4,8,0,0.48,4.979
2007,4,9,2.142,0.486,4.453
2007,4,10,0.734,0.611,1.329
2007,4,11,0,1.279,6.983
2007,4,12,0,0.523,2.225
2007,4,13,0,0.547,1.463
2007,4,14,0,0.555,1.792
2007,4,15,0,0.683,2.957
2007,4,16,0.44,1.68,4.935
2007,4,17,2.044,0.38,5.997
2007,4,18,1.579,0.366,4.304
2007,4,19,0.733,1.604,5.748
2007,4,20,0.526,0.347,3.499
2007,4,21,6.825,0.467,9.934
2007,4,22,4.557,2.276,11.657
2007,4,23,1.402,0.494,6.645
2007,4,24,0.621,0.536,6.68
2007,4,25,0.504,1.204,7.428
2007,4,26,1.324,2.098,8.547
2007,4,27,1.772,0.565,3.772
2007,4,28,0,0.057,0.984
2007,4,30,0.716,0.438,1.131
2007,5,1,4.503,0.977,7.158
2007,5,2,0,1.299,5.142
2007,5,3,1.52,1.937,5.811
2007,5,4,1.866,0.575,5.324
2007,5,5,3.19,2.456,9.983
2007,5,6,3.724,0.652,10.109
2007,5,7,0.946,5.249,11.139
2007,5,8,4.115,2.001,7.904
2007,5,9,2.957,5.645,9.733
2007,5,10,1.473,0.514,4.166
2007,5,11,0.579,0.518,5.934
2007,5,12,2.594,1.062,10.763
2007,5,13,3.612,2.424,9.14
2007,5,14,2.646,2.184,4.89
2007,5,15,0.53,0.642,5.306
2007,5,16,1.569,5.755,9.032
2007,5,17,1.658,2.073,6.348
2007,5,18,2.549,3.881,9.067
2007,5,19,5.404,0.56,7.887
2007,5,20,4.509,1.682,5.787
2007,5,21,0.911,0.521,9.129
2007,5,22,0.931,2.852,5.508
2007,5,23,0.934,4.891,7.771
2007,5,24,0.977,2.803,5.417
2007,5,25,7.002,1.91,6.654
2007,5,26,3.431,2.755,6.862
2007,5,27,3.904,5.475,11.982
2007,5,28,4.347,0.536,9.814
2007,5,29,0.669,1.904,3.377
2007,5,30,1.705,5.936,8.669
2007,5,31,1.48,0.482,2.72
2007,6,1,0,0.492,8.586
2007,6,2,3.971,1.248,7.633
2007,6,3,4.985,4.495,8.334
2007,6,4,1.532,3.856,4.533
2007,6,5,4.114,0.976,5.059
2007,6,6,3.233,0.891,11.528
2007,6,7,1.504,0.691,4.817
2007,6,8,2.799,11.431,12.046
2007,6,9,0.852,0.591,5.797
2007,6,10,4.202,1.952,5.801
2007,6,11,0,0.462,6.303
2007,6,12,1.882,0.5,3.898
2007,6,13,0.957,0.859,4.273
2007,6,14,2.971,0.886,7.051
2007,6,15,2.137,5.208,5.493
2007,6,16,3.248,4.422,10.56
2007,6,17,4.648,5.185,9.282
2007,6,18,0,0.502,4.241
2007,6,19,0.973,0.536,4.357
2007,6,20,1.312,2.504,5.106
2007,6,21,0.895,1.207,3.711
2007,6,22,0.486,2.243,3.482
2007,6,23,0,0.786,2.402
2007,6,24,0,0.781,2.772
2007,6,25,0.313,2.615,5.493
2007,6,26,1.673,1.947,3.896
2007,6,27,3.063,6.758,8.466
2007,6,28,0.51,4.318,8.442
2007,6,29,3.85,0.842,7.459
2007,6,30,3.562,0.797,8.794
2007,7,1,0.969,0.736,4.239
2007,7,2,0.439,3.594,2.876
2007,7,3,0.579,2.86,4.856
2007,7,4,2.767,4.125,5.883
2007,7,5,2.28,0.835,3.924
2007,7,6,2.989,3.083,4.82
2007,7,7,1.505,3.597,8.784
2007,7,8,1.825,2.758,5.715
2007,7,9,0,0.648,8.538
2007,7,10,0.99,1.006,5.652
2007,7,11,1.015,1.86,6.066
2007,7,12,0.529,2.568,5.196
2007,7,13,0.5,0.605,5.65
2007,7,14,3.775,1.916,5.624
2007,7,15,0.862,0.666,4.461
2007,7,16,0.83,0.723,5.503
2007,7,17,0.848,0.664,3.654
2007,7,18,0.909,0.667,5.086
2007,7,19,1.068,0.676,3.13
2007,7,20,1.624,2.406,4.592
2007,7,21,0.487,0.612,7.502
2007,7,22,6.635,0.986,5.736
2007,7,23,2.164,2.438,4.101
2007,7,24,0.467,0.323,5.599
2007,7,25,0,1.435,2.333
2007,7,26,0.975,3.579,4.346
2007,7,27,1.33,0.103,6.82
2007,7,28,1.414,10.265,6.347
2007,7,29,0,0,1.837
2007,7,30,0,0,1.822
2007,7,31,3.277,0,4.281
2007,8,1,1.583,0,9.812
2007,8,2,0.482,0,6.531
2007,8,3,0.958,0,9.477
2007,8,4,0.552,0.398,7.506
2007,8,5,0.169,0,6.409
2007,8,6,1.096,0,8.349
2007,8,7,0.437,2.168,9.376
2007,8,8,1.055,1.052,9.66
2007,8,9,0.182,4.574,6.646
2007,8,10,0.336,2.598,8.209
2007,8,11,1.18,0.963,10.417
2007,8,12,0.462,0.344,6.59
2007,8,13,0.754,1.288,12.635
2007,8,14,0.951,0.366,6.714
2007,8,15,0.338,0.827,9.787
2007,8,16,0.962,0,6.861
2007,8,17,0.244,0,8.384
2007,8,18,0,0,1.83
2007,8,19,1.025,8.865,5.674
2007,8,20,1.032,6.992,7
2007,8,21,0,0.058,3.994
2007,8,22,3.048,0.311,6.969
2007,8,23,2.043,1.764,5.614
2007,8,24,2.334,3.077,9.532
2007,8,25,4.165,2.779,6.09
2007,8,26,1.541,3.649,5.658
2007,8,27,1.798,1.334,6.098
2007,8,28,1.545,0.756,5.729
2007,8,29,0.957,2.267,4.932
2007,8,30,3.435,1.171,3.6
2007,8,31,1.17,2.041,9.194
2007,9,1,2.905,0.582,8.781
2007,9,2,3.254,1.635,9.267
2007,9,3,0.989,2.527,5.683
2007,9,4,2.928,3.401,10.117
2007,9,5,0,3.689,5.271
2007,9,6,0,3.614,4.895
2007,9,7,3.258,1.382,9.388
2007,9,8,3.129,1.789,8.817
2007,9,9,2.768,4.411,8.197
2007,9,10,0.935,0.602,6.766
2007,9,11,0.089,0.562,3.905
2007,9,12,0.854,1.276,8.111
2007,9,13,0.639,4.432,5.614
2007,9,14,1.202,0.677,5.804
2007,9,15,0.235,1.459,6.464
2007,9,16,3.118,3.029,7.188
2007,9,17,5.635,0.991,6.368
2007,9,18,1.992,2.007,6.722
2007,9,19,0.912,2.74,8.673
2007,9,20,1.056,0.512,7.859
2007,9,21,2.623,2.68,8.02
2007,9,22,1.451,1.28,8.121
2007,9,23,2.831,2.062,6.307
2007,9,24,0.929,3.935,9.03
2007,9,25,0.916,2.222,8.303
2007,9,26,1.058,9.344,6.842
2007,9,27,1.066,0.706,7.66
2007,9,28,0.996,3.697,9.509
2007,9,29,3.139,7.521,7.804
2007,9,30,2.351,0.509,8.949
2007,10,1,1.081,6.694,5.939
2007,10,2,0.934,7.959,14.568
2007,10,3,0.979,4.817,4.065
2007,10,4,2.091,0.676,9.71
2007,10,5,0.309,0.36,9.425
2007,10,6,4.364,0.357,9.666
2007,10,7,2.974,8.186,8.809
2007,10,8,0,0.475,5.258
2007,10,9,2.033,2.158,10.641
2007,10,10,1.864,2.071,3.895
2007,10,11,2.628,0.45,7.455
2007,10,12,1.022,5.022,11.931
2007,10,13,0.969,3.764,8.369
2007,10,14,2.93,7.522,7.299
2007,10,15,1.061,0.359,7.654
2007,10,16,0,6.126,9.456
2007,10,17,1.065,2.188,9.029
2007,10,18,0.551,0.318,8.05
2007,10,19,1.91,3.124,13.251
2007,10,20,2.363,0.309,13.795
2007,10,21,3.207,4.345,7.313
2007,10,22,0.505,0.307,13.027
2007,10,23,1.067,3.871,10.456
2007,10,24,3.821,1.682,7.915
2007,10,25,1.579,2.336,8.809
2007,10,26,0.537,0.451,5.766
2007,10,27,1.374,4.84,8.949
2007,10,28,0,0.418,1.581
2007,10,29,0,0.285,2.803
2007,10,30,0,1.919,4.386
2007,10,31,0,4.696,8.915
2007,11,1,0,0.314,1.991
2007,11,2,1.346,2.098,12.245
2007,11,3,0,0.288,1.936
2007,11,4,0,4.358,7.068
2007,11,5,1.265,0.415,6.583
2007,11,6,1.105,5.516,10.69
2007,11,7,5.042,0.322,5.809
2007,11,8,1.715,0.301,7.065
2007,11,9,0,4.586,15.375
2007,11,10,3.173,0.303,12.72
2007,11,11,3.969,0.301,7.071
2007,11,12,1.018,3.422,13.281
2007,11,13,0.978,5.696,11.076
2007,11,14,1.055,0.275,15.264
2007,11,15,1.361,0.589,8.179
2007,11,16,2.236,4.656,13.853
2007,11,17,2.588,2.195,14.653
2007,11,18,5.201,2.107,7.449
2007,11,19,1.089,0.253,10.82
2007,11,20,0.485,3.934,10.511
2007,11,21,1.669,0.569,9.245
2007,11,22,2.331,0.277,9.641
2007,11,23,2.592,5.683,13.712
2007,11,24,1.685,4.629,13.509
2007,11,25,3.556,0.288,5.678
2007,11,26,1.088,0.285,8.926
2007,11,27,1.063,10.983,14
2007,11,28,1.182,0.82,8.921
2007,11,29,2.031,0.263,8.818
2007,11,30,0,7.961,13.601
2007,12,1,9.356,0.338,16.781
2007,12,2,2.09,6.917,11.702
2007,12,3,1.141,0.292,9.33
2007,12,4,1.012,5.828,9.659
2007,12,5,3.422,0.297,10.919
2007,12,6,4.445,0.336,11.354
2007,12,7,0.765,3.69,10.817
2007,12,8,1.133,2.353,12.032
2007,12,9,4.176,2.449,8.979
2007,12,10,1.102,0.275,8.281
2007,12,11,1.05,3.801,12.342
2007,12,12,1.152,0.273,8.157
2007,12,13,1.103,1.438,8.911
2007,12,14,0.98,3.841,12.941
2007,12,15,1.706,3.701,14.313
2007,12,16,3.41,2.285,12.929
2007,12,17,1.636,0.243,10.567
2007,12,18,1.123,5.785,10.824
2007,12,19,1.233,2.647,11.948
2007,12,20,1.859,0.309,13.592
2007,12,21,1.191,0.203,12.251
2007,12,22,3.229,4.524,12.531
2007,12,23,2.561,3.107,11.014
2007,12,24,2.985,2.326,15.44
2007,12,25,3.899,3.367,7.997
2007,12,26,1.798,2.764,10.567
2007,12,27,3.488,1.464,7.774
2007,12,28,2.467,8.554,14.932
2007,12,29,4.774,2.47,15.983
2007,12,30,3.804,3.594,13.385
2007,12,31,0,3.456,13.104
2008,1,1,2.461,2.743,13.422
2008,1,2,0,1.489,8.987
2008,1,3,1.13,2.422,6.671
2008,1,4,1.241,5.355,11.752
2008,1,5,2.113,0.286,13.529
2008,1,6,1.966,2.445,8.886
2008,1,7,1.288,0.282,9.21
2008,1,8,2.197,3.511,10.877
2008,1,9,1.162,0.256,8.963
2008,1,10,1.307,0.284,9.992
2008,1,11,0.661,0.29,7.856
2008,1,12,6.194,2.65,10.204
2008,1,13,6.505,0.34,10.415
2008,1,14,5.916,0.339,9.407
2008,1,15,0.784,6.883,14.022
2008,1,16,1.162,3.43,10.212
2008,1,17,1.007,0.349,8.657
2008,1,18,1.034,0.815,14.296
2008,1,19,2.521,6.086,8.702
2008,1,20,1.775,0.38,4.94
2008,1,21,0,0.375,10.447
2008,1,22,4.67,7.563,7.552
2008,1,23,1.116,0.415,13.359
2008,1,24,1.107,0.33,5.935
2008,1,25,0,2.423,11.409
2008,1,26,4.152,0.312,15.073
2008,1,27,4.498,3.834,7.9
2008,1,28,1.142,0.264,11.707
2008,1,29,1.487,6.236,12.162
2008,1,30,0,0.261,6.755
2008,1,31,1.165,0.228,8.865
2008,2,1,0,0.28,7.788
2008,2,2,6.583,2.794,14.656
2008,2,3,2.319,4.413,9.515
2008,2,4,1.161,0.283,9.531
2008,2,5,1.098,7.769,13.717
2008,2,6,2.114,0.39,7.881
2008,2,7,0,0.258,8.636
2008,2,8,0.94,1.958,8.994
2008,2,9,1.462,2.835,10.862
2008,2,10,3.15,2.958,9.036
2008,2,11,1.018,0.259,10.022
2008,2,12,2.009,1.894,12.138
2008,2,13,2.53,3.615,7.568
2008,2,14,1.3,0.255,9.042
2008,2,15,1.109,1.759,13.674
2008,2,16,1.076,2.36,11.225
2008,2,17,3.182,2.257,6.423
2008,2,18,0,0.218,10.345
2008,2,19,1.881,4.744,11.2
2008,2,20,3.076,5.475,7.017
2008,2,21,0.579,0.309,9.21
2008,2,22,1.167,1.984,10.101
2008,2,23,1.684,2.281,8.956
2008,2,24,0.754,0.3,12.531
2008,2,25,0,0.324,1.856
2008,2,26,0,0.333,2.013
2008,2,27,0,0.287,2.969
2008,2,28,0,0.32,2.028
2008,2,29,0,3.773,8.062
2008,3,1,0,1.268,1.959
2008,3,2,0,5.216,3.33
2008,3,3,0,2.243,1.755
2008,3,4,1.249,2.445,9.415
2008,3,5,1.145,9.768,5.529
2008,3,6,1.082,0.41,6.965
2008,3,7,0.839,3.471,8.364
2008,3,8,6.306,0.346,9.104
2008,3,9,2.983,0.316,4.155
2008,3,10,2.009,0.344,8.66
2008,3,11,1.145,3.939,11.848
2008,3,12,0.705,2.326,12.13
2008,3,13,3.804,3.599,5.464
2008,3,14,0.98,3.885,14.476
2008,3,15,2.425,0.54,5.91
2008,3,16,2.519,0.566,10.206
2008,3,17,0.236,6.591,10.426
2008,3,18,1.156,4.007,12.544
2008,3,19,2.11,0.483,6.154
2008,3,20,1.107,0.405,6.67
2008,3,21,2.171,4.785,13.275
2008,3,22,3.322,0.654,11.318
2008,3,23,6.279,2.102,14.965
2008,3,24,1.131,5.998,7.008
2008,3,25,2.246,3.613,13.494
2008,3,26,1.956,3.828,7.547
2008,3,27,0.591,0.423,9.022
2008,3,28,2.325,3.605,11.581
2008,3,29,5.153,0.371,16.172
2008,3,30,4.843,1.312,10.837
2008,3,31,0.751,0.36,7.254
2008,4,1,1.084,6.655,15.725
2008,4,2,0.871,3.65,8.688
2008,4,3,0.772,0.487,7.125
2008,4,4,2.133,0.794,11.124
2008,4,5,2.929,0.834,15.277
2008,4,6,1.124,2.598,7.96
2008,4,7,2.42,0.673,9.464
2008,4,8,2.243,10.769,17.284
2008,4,9,0.509,0.376,8.43
2008,4,10,2.916,0.371,6.642
2008,4,11,2.147,0.553,15.217
2008,4,12,6.648,2.503,13.111
2008,4,13,2.484,5.883,15.087
2008,4,14,0.498,0.504,9.857
2008,4,15,1.174,3.936,10.099
2008,4,16,0.838,0.441,12.471
2008,4,17,1.719,0.441,8.406
2008,4,18,2.174,3.768,10.599
2008,4,19,3.389,2.432,13.601
2008,4,20,1.96,3.509,11.569
2008,4,21,0,2.067,7.25
2008,4,22,0.971,6.749,10.647
2008,4,23,1.373,0.566,8.329
2008,4,24,1.27,0.505,4.705
2008,4,25,0.824,1.982,10.021
2008,4,26,0,0.665,3.634
2008,4,27,0.693,0.583,5.436
2008,4,28,0,0.551,2.785
2008,4,29,1.402,5.494,9.439
2008,4,30,1.057,0.518,7.748
2008,5,1,0,0.525,2.586
2008,5,2,3.114,0.593,8.639
2008,5,3,0.996,0.563,5.556
2008,5,4,2.196,2.887,6.144
2008,5,5,1.008,0.382,10.491
2008,5,6,1.354,5.403,11.566
2008,5,7,1.03,0.42,6.815
2008,5,8,3.667,0.71,11.148
2008,5,9,2.229,0.423,13.933
2008,5,10,6.293,0.602,11.658
2008,5,11,1.22,1.313,6.429
2008,5,12,1.02,1.127,11.799
2008,5,13,1.885,4.03,9.027
2008,5,14,2.467,3.453,9.295
2008,5,15,0.868,0.573,7.303
2008,5,16,2.228,2.6,8.851
2008,5,17,1.27,0.94,10.603
2008,5,18,2.663,3.545,10.531
2008,5,19,0.528,2.37,7.578
2008,5,20,1.838,2.408,11.98
2008,5,21,1.449,0.474,8.529
2008,5,22,1.034,0.439,6.308
2008,5,23,0.502,1.388,15.615
2008,5,24,0.287,0.535,12.646
2008,5,25,4.54,7.764,5.231
2008,5,26,0.516,1.734,9.109
2008,5,27,0.976,5.362,12.039
2008,5,28,3.138,0.512,7.105
2008,5,29,0.496,0.516,8.895
2008,5,30,0.508,3.036,11.295
2008,5,31,1.764,2.261,11.34
2008,6,1,1.906,0.579,10.258
2008,6,2,0.96,0.559,7.856
2008,6,3,2.44,0.933,9.014
2008,6,4,0.977,9.347,6.823
2008,6,5,2.305,0.523,8.774
2008,6,6,1.481,0.507,7.832
2008,6,7,2.379,2.631,14.641
2008,6,8,2.536,2.066,9.725
2008,6,9,1.018,3.167,7.136
2008,6,10,1.856,0.571,9.717
2008,6,11,0.977,0.866,7.296
2008,6,12,1.9,0.549,7.53
2008,6,13,1.905,7.359,9.759
2008,6,14,2.277,1.059,11.491
2008,6,15,7.011,6.49,11.598
2008,6,16,1.324,0.739,9.554
2008,6,17,1.176,0.433,9.675
2008,6,18,8.109,3.032,11.369
2008,6,19,3.411,1.521,11.68
2008,6,20,2.815,2.887,13.839
2008,6,21,0.133,5.868,11.841
2008,6,22,5.645,1.15,11.131
2008,6,23,1.731,0.605,9.997
2008,6,24,3.231,3.486,13.674
2008,6,25,2.696,0.567,10.408
2008,6,26,1.415,0.578,8.6
2008,6,27,3.649,2.333,9.331
2008,6,28,0.51,2.021,9.354
2008,6,29,0.955,0.553,3.202
2008,6,30,0,0.521,6.717
2008,7,1,2.616,0.545,7.256
